"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
multiracial_other,type_1_diabetes_outofpocket_cost_survey,,text,"If other race, please specify:",,,,,,,"[race(7)] = '1'",,LV,,,,
currency,type_1_diabetes_outofpocket_cost_survey,,radio,"What currency do you use?","1, Australian Dollar (AUD) | 2, Bosnia-Herzegovina Convertible Marka (BAM) | 3, Canadian Dollar (CAD) | 4, Chinese Renminbi (CNH) | 5, Costa Rican Colón (CRC) | 6, Euro (EUR) | 7, Ghanaian Cedi (GHC) | 8, Hong Kong Dollar (HKD) | 9, Indian Rupee (INR) | 10, Israeli New Shekel (ILS) | 11, Japanese Yen (JPY) | 12, Lebanese Pound (LBP) | 13, Mexican Peso (MXN) | 14, New Zealand Dollar (NZD) | 15, Pakistani Rupee (PKR) | 16, Panamanian Balboa (PAB) | 17, Pound Sterling (GBP) | 18, Swedish Krona (SEK) | 19, Swiss Franc (CHF) | 20, Tanzanian Shilling (TSH) | 21, US Dollar (USD) | 22, Zimbabwe Dollar (ZWD) | 23, Your Currency",,,,,,,y,LV,,,,
oth_currency,type_1_diabetes_outofpocket_cost_survey,,text,"If your currency, please specify",,"If selecting ""Your Currency"", please write your currency in the text box or we cannot calcuate your costs.",,,,,"[currency] = '23'",y,LV,,,,
health_ins,type_1_diabetes_outofpocket_cost_survey,,radio,"Do you have health coverage that covers the cost of your diabetes medication and supplies? 
(Choose the answer the best describes your situation)","0, No, there is no coverage for any of my costs | 1, Yes, there is health coverage for <b>some</b> of my costs | 2, Yes, there is health coverage for <b>all</b> of my costs (so I do not pay anything out of pocket) | 3, Prefer not to answer",,,,,,,y,LV,,,,
help_covering_costs,type_1_diabetes_outofpocket_cost_survey,,checkbox,"Do you receive any help to pay for your insulin, diabetes supplies, or care? 
(Choose all that apply)","0, No | 1, Yes, support from family and friends | 2, Yes, charities/religious/non-profit programs | 3, Yes, donations (including online platforms like GoFundMe) | 4, Yes, government assistance/benefit programs | 5, Yes, pharmaceutical company assistance programs | 6, Other {help_type_oth} | 7, Prefer not to answer",,,,,,,y,LV,,,," @NONEOFTHEABOVE=""0,7"""
help_type_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please describe",,,,,,,"[help_covering_costs(6)] = '1'",,LV,,,,
oth_sources_for_ins,type_1_diabetes_outofpocket_cost_survey,,checkbox,"In the past year, have you had to do any of the following to pay for your out-of-pocket costs for your medication and/or supplies? (Choose all that apply)","0, None of these | 1, Use savings | 2, Borrowed money | 3, Sold assets | 4, Other {oth_sources_oth} | 5, Prefer not to answer",,,,,,,y,LV,,,," @NONEOFTHEABOVE='0,5'"
oth_sources_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please describe",,,,,,,"[oth_sources_for_ins(4)] = '1'",,LV,,,,
covid,type_1_diabetes_outofpocket_cost_survey,,checkbox,"Has the COVID-19 pandemic affected your access to insulin and diabetes supplies?","0, No change | 1, Access to supplies have been delayed or disrupted | 2, Access to insulin has been delayed or disrupted | 3, Prices have gone up | 4, Prices have gone down | 5, Unsure | 6, Prefer not to answer",,,,,,,y,LV,,,," @NONEOFTHEABOVE=""0,6"""
insulin,type_1_diabetes_outofpocket_cost_survey,,checkbox,"<p>In what form do you get your insulin? 
(Choose all that apply)</p>","0, Insulin vials | 2, Insulin pens | 4, Inhaled insulin | 5, Other {insulin_admin_oth} | 3, Prefer not to answer",,,,,,,y,LV,,,," @NONEOFTHEABOVE=""3"""
insulin_admin_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please specify",,,,,,,"[insulin(5)] = '1'",,LV,,,,
insulin_how,type_1_diabetes_outofpocket_cost_survey,,checkbox,"How do you administer the insulin? 
(Choose all that apply) ","0, Syringes | 1, Pens with pen needles | 2, Insulin pump | 3, Other {insulin_how_oth} | 4, Prefer not to answer",,,,,,,y,LV,,,," @NONEOFTHEABOVE=""4"""
insulin_how_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please specify",,,,,,,"[insulin_how(3)] = '1'",,,,,,
pen_needles_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay in [currency] for a 1 month supply of pen needles and/or syringes?",,,number,,,,"[insulin_how(0)] = '1' or [insulin_how(1)] = '1'",,LV,,,,
insulin_type,type_1_diabetes_outofpocket_cost_survey,,checkbox,"Please select all insulins you currently use. 
(Choose all that apply)","0, Humalog U-100 | 20, Humalog U-200 | 1, Novolog/Novorapid | 2, Apidra | 22, Admelog | 23, Lyumjev | 3, Humulin | 4, Novolin (Regular) | 5, Fiasp | 21, Velosulin | 6, Lantus/ Toujeo | 7, Levemir | 8, Tresiba U-100 | 19, Tresiba U-200 | 9, Basaglar | 10, NPH | 11, Humulin 70/30 | 12, Humulin 50/50 | 13, Humalog 75/25 | 14, Novolin 70/30 | 15, Novolog 70/30 | 18, Mixtard | 25, Rezvoglar | 26, Afrezza | 27, Semglee | 16, Other {insulin_type_oth} | 17, Prefer not to answer",,,,,,,y,LV,,,," @NONEOFTHEABOVE=""17"""
insulin_type_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please list",,,,,,,"[insulin_type(16)] = '1'",,LV,,,,
sa_vial_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many vials of short-acting insulin (e.g. Humalog, Novolog/Novorapid, Apidra, Humulin, Novolin/Regular, Velosulin, Fiasp, Admelog, or Lyumjev) do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"([insulin_type(0)] = '1' or [insulin_type(20)] = '1' or [insulin_type(1)] = '1' or [insulin_type(2)] = '1' or [insulin_type(22)] = '1' or [insulin_type(23)] = '1' or [insulin_type(3)] = '1' or [insulin_type(4)] = '1' or [insulin_type(5)] = '1' or [insulin_type(21)] = '1') and [insulin(0)] = '1'",y,LV,,,,
sa_pens_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many pens of short-acting insulin (e.g. Humalog, Novolog/Novorapid, Apidra, Humulin, Novolin/Regular, Velosulin, Fiasp, Admelog, or Lyumjev) do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"([insulin_type(0)] = '1' or [insulin_type(20)] = '1' or [insulin_type(1)] = '1' or [insulin_type(2)] = '1' or [insulin_type(22)] = '1' or [insulin_type(23)] = '1' or [insulin_type(3)] = '1' or [insulin_type(4)] = '1' or [insulin_type(5)] = '1' or [insulin_type(21)] = '1') and [insulin(2)] = '1'",y,LV,,,,
sa_ins_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a 1 month supply of short-acting insulin (e.g. Humalog, Novolog/Novorapid, Apidra, Humulin, Novolin/Regular, Velosulin, Fiasp, Admelog, or Lyumjev)? ",,"Number only",number,0,,,"[insulin_type(0)] = '1' or [insulin_type(20)] = '1' or [insulin_type(1)] = '1' or [insulin_type(2)] = '1' or [insulin_type(22)] = '1' or [insulin_type(23)] = '1' or [insulin_type(3)] = '1' or [insulin_type(4)] = '1' or [insulin_type(5)] = '1' or [insulin_type(21)] = '1'",,LV,,,,
la_vials_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many vials of intermediate or long-acting insulin (e.g. Lantus/Toujeo, Levemir, Tresiba, Basaglar, NPH, Semglee, or Rezvoglar) do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"([insulin_type(6)] = '1' or [insulin_type(7)] = '1' or [insulin_type(8)] = '1' or [insulin_type(19)] = '1' or [insulin_type(9)] = '1' or [insulin_type(10)] = '1' or [insulin_type(25)] = '1' or [insulin_type(27)] = '1') and [insulin(0)] = '1'",y,LV,,,,
la_pens_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many pens of intermediate or long-acting insulin (e.g. Lantus/Toujeo, Levemir, Tresiba, Basaglar, NPH, Semglee, or Rezvoglar) do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"([insulin_type(6)] = '1' or [insulin_type(7)] = '1' or [insulin_type(8)] = '1' or [insulin_type(19)] = '1' or [insulin_type(9)] = '1' or [insulin_type(10)] = '1' or [insulin_type(25)] = '1' or [insulin_type(27)] = '1') and [insulin(2)]= '1'",y,LV,,,,
la_ins_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a 1 month supply of intermediate or long-acting insulin (e.g. Lantus/Toujeo, Levemir, Tresiba, Basaglar, NPH, Semglee, or Rezvoglar)? 
",,"Number only",number,0,,,"[insulin_type(6)] = '1' or [insulin_type(7)] = '1' or [insulin_type(8)] = '1' or [insulin_type(19)] = '1' or [insulin_type(9)] = '1' or [insulin_type(10)] = '1' or [insulin_type(25)] = '1' or [insulin_type(27)] = '1'",,LV,,,,
ma_vials_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many vials of mixed insulin (e.g. Humulin 70/30, Humulin 50/50, Humalog 75/25, Novolin 70/30, Mixtard or Novolog 70/30) do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"([insulin_type(11)] = '1' or [insulin_type(12)] = '1' or [insulin_type(13)] = '1' or [insulin_type(14)] = '1' or [insulin_type(15)] = '1' or [insulin_type(17)] = '1' or [insulin_type(18)] = '1') and [insulin(0)] = '1'",y,LV,,,,
ma_pens_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many pens of mixed insulin (e.g. Humulin 70/30, Humulin 50/50, Humalog 75/25, Novolin 70/30, Mixtard or Novolog 70/30) do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"([insulin_type(11)] = '1' or [insulin_type(12)] = '1' or [insulin_type(13)] = '1' or [insulin_type(14)] = '1' or [insulin_type(15)] = '1' or [insulin_type(17)] = '1' or [insulin_type(18)] = '1') and [insulin(2)] = '1'",y,LV,,,,
mix_ins_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a 1 month supply of mixed insulin (e.g. Humulin 70/30, Humulin 50/50, Humalog 75/25, Novolin 70/30, Mixtard or Novolog 70/30)? ",,"Number only",number,0,,,"([insulin_type(11)] = '1' or [insulin_type(12)] = '1' or [insulin_type(13)] = '1' or [insulin_type(14)] = '1' or [insulin_type(15)] = '1' or [insulin_type(17)] = '1' or [insulin_type(18)] = '1')",,LV,,,,
oth_ins_vials_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many vials of other insulin type do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"([insulin_type(16)] = '1' or [insulin_type(26)] = '1') and [insulin(0)] = '1'",y,LV,,,,
oth_ins_pens_num_pm,type_1_diabetes_outofpocket_cost_survey,,radio,"How many pens of other insulin type do you typically use per month?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+ | 9, Prefer not to answer",,,,,,"[insulin_type(16)] = '1' and [insulin(2)] = '1'",y,LV,,,,
oth_ins_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a 1 month supply of other insulin type? ",,"Number only",number,0,,,"[insulin_type(16)] = '1' or [insulin_type(26)] = '1'",,LV,,,,
ins_ration_freq,type_1_diabetes_outofpocket_cost_survey,,radio,"How often do you have to ration or NOT give yourself insulin due to cost? ","0, Never | 1, At least once per year | 2, At least once per month | 3, At least once per week | 4, Every day | 5, Prefer not to answer",,,,,,,y,LV,,,,
pump_type,type_1_diabetes_outofpocket_cost_survey,,radio,"What type of insulin pump do you use? ","0, Animas | 1, Accu-Check | 2, Asante | 3, Medtronic | 4, Sooil | 5, Tandem t:slim | 6, Omnipod | 7, Other | 8, Prefer not to answer",,,,,,"[insulin_how(2)] = '1'",y,LV,,,,
pump_type_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, pump type please list",,,,,,,"[pump_type] = '7'",,LV,,,,
initial_pump_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much did you pay out of pocket in [currency] for your [pump_type] pump?",,"Number only",number,0,,,"[insulin_how(2)] = '1'",,LV,,,,
pump_costs,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a 1 month supply of insulin pump supplies?
",,"Number only",number,0,,,"[insulin_how(2)] = '1'",,LV,,,,
bg_strips,type_1_diabetes_outofpocket_cost_survey,,radio,"What brand of blood testing strips do you primarily use? ","0, None | 1, OneTouch | 2, Accu-Check | 3, Abbott Freestyle | 4, Ascensia (Bayer) | 5, Precision | 6, True track | 7, True test | 8, Sanofi BG star | 9, Subscription based services (e.g. One Drop or Good Glucose) | 10, Other {bg_strips_oth} | 11, Prefer not to answer",,,,,,,y,LV,,,,
bg_strips_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please list",,,,,,,"[bg_strips] = '10'",,LV,,,,
bg_strips_num,type_1_diabetes_outofpocket_cost_survey,,text,"Approximately how many test strips do you use per month?",,"Number only",number,0,,,"[bg_strips] = '1' or [bg_strips] = '2' or [bg_strips] = '3' or [bg_strips] = '4' or [bg_strips] = '5' or [bg_strips] = '6' or [bg_strips] = '7' or [bg_strips] = '8' or [bg_strips] = '9' or [bg_strips] = '10' or [bg_strips] = '11'",,LV,,,,
bg_strips_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a 1 month supply of blood glucose testing strips?
",,"Number only",number,0,,,"[bg_strips] = '1' or [bg_strips] = '2' or [bg_strips] = '3' or [bg_strips] = '4' or [bg_strips] = '5' or [bg_strips] = '6' or [bg_strips] = '7' or [bg_strips] = '8' or [bg_strips] = '9' or [bg_strips] = '10' or [bg_strips] = '11'",,LV,,,,
cgm,type_1_diabetes_outofpocket_cost_survey,,radio,"Do you use a continuous glucose monitor/Flash Glucose Monitoring devices (CGM)? ","0, No | 1, Yes, Dexcom | 2, Yes, Medtronic | 3, Yes, Freestyle Libre | 4, Yes, other {cgm_oth} | 5, Prefer not to answer",,,,,,,y,LV,,,,
cgm_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please list",,,,,,,"[cgm] = '4'",,LV,,,,
cgm_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a 1 month supply of CGM/Flash Glucose Monitoring supplies?
",,"Number only",number,0,,,"[cgm] = '1' or [cgm] = '2' or [cgm] = '3' or [cgm] = '4'",,LV,,,,
bg_strips_freq,type_1_diabetes_outofpocket_cost_survey,,radio,"How often do you NOT test your blood sugar due to lack of strips or CGM supplies?","0, Never | 1, At least once per year | 2, At least once per month | 3, At least once per week | 4, Every day | 5, Prefer not to answer",,,,,,,y,LV,,,,
glucagon,type_1_diabetes_outofpocket_cost_survey,,radio,"Do you use or keep a glucagon emergency injection or nasal spray (Baqsimi) for hypoglycemia (low blood sugar)?","1, Yes, Glucagon | 3, Yes, nasal spray (Baqsimi) | 0, No | 2, Prefer not to answer",,,,,,,y,LV,,,,
glucagon_no,type_1_diabetes_outofpocket_cost_survey,,checkbox,"You answered that you do not use or keep a glucagon or nasal spray with you. Why not? 
(Choose all that apply)","0, It is too expensive | 1, It is not available where I live | 2, I did not know it exists | 3, I do not know how to use it | 4, I do not want to keep it with me | 5, I do not feel that I need it | 6, Other {glucagon_no_oth} | 7, Prefer not to answer",,,,,,"[glucagon] = '0'",y,LV,,,," @NONEOFTHEABOVE=""7"""
glucagon_no_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please list",,,,,,,"[glucagon_no(6)] = '1'",,LV,,,,
glucagon_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for a glucagon emergency shot or nasal spray?",,"Number only",number,0,,,"[glucagon] = '1' or [glucagon] = '3'",,LV,,,,
ketone_strips,type_1_diabetes_outofpocket_cost_survey,,radio,"Do you use or keep ketone strips with you?","0, No | 1, Yes, urine strips | 2, Yes, blood strips | 3, Prefer not to answer",,,,,,,y,LV,,,,
ketone_strips_no,type_1_diabetes_outofpocket_cost_survey,,checkbox,"You answered that you do not use or keep ketone strips with you. Why not?
 (Choose all that apply)","0, It is too expensive | 1, It is not available where I live | 2, I did not know it exists | 3, I do not know how to use it | 4, I do not want to keep it with me | 5, I do not feel that I need it | 6, Other {ketone_strips_no_oth} | 7, Prefer not to answer",,,,,,"[ketone_strips] = '0'",y,LV,,,," @NONEOFTHEABOVE=""7"""
ketone_strips_no_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please describe",,,,,,,"[ketone_strips_no(6)] = '1'",,LV,,,,
ketone_cost,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay out of pocket in [currency] for one container of ketone test strips?
",,"Number only",number,0,,,"[ketone_strips] = '1' or [ketone_strips] = '2'",,LV,,,,
total_cost_2,type_1_diabetes_outofpocket_cost_survey,,calc,"The number below is the total sum in [currency] of all monthly out-of-pocket costs you've entered related to your diabetes supplies.

If it seems higher or lower than you expected, please recheck the values you have entered above.","sum([sa_ins_cost],[la_ins_cost],[mix_ins_cost],[oth_ins_cost],[pump_costs],[bg_strips_cost],[cgm_cost], [pen_needles_cost])",,,,,,,,LV,,,,
diab_med_visits,type_1_diabetes_outofpocket_cost_survey,,text,"How much do you pay in [currency] annually for medical/doctor visits related to diabetes? This may be in the form of a ""copay,"" if you have health coverage. ",,"Number only",number,,,,,,LV,,,,
health_cov_cost,type_1_diabetes_outofpocket_cost_survey,,text,"<div class=""rich-text-field-label""><p>How much do you pay in [currency] per month for your health coverage? You might know this as a 'premium.'</p></div>",,"Number only",number,0,,,"[health_ins] = '1' or [health_ins] = '2'",,LV,,,,
avg_oth_costs,type_1_diabetes_outofpocket_cost_survey,,text,"If comfortable, please share your total average monthly household expenses other than diabetes costs (i.e. rent/mortgage, utilities, food, leisure activities, clothing, etc).",,"Number only",number,0,,,,,LV,,,,
comments,type_1_diabetes_outofpocket_cost_survey,,notes,"Is there any other information you would like us to know about your diabetes care? ",,,,,,,,,LV,,,,
feedback_to_leg,type_1_diabetes_outofpocket_cost_survey,,notes,"If you could tell your government or people in power one thing, what would you tell them?",,,,,,,,,LV,,,,
email,type_1_diabetes_outofpocket_cost_survey,,descriptive,"<div class=""rich-text-field-label""><p>If you would like to share more information about life with diabetes in your country, email us at <a href=""mailto:contact@t1international.com"">contact@t1international.com</a>.</p></div>",,,,,,,,,,,,,
